age,math,club
12,54,информатика
10,99,информатика
18,28,спорт
18,35,музыка
12,90,нет
10,39,нет
11,23,спорт
10,56,нет
17,32,информатика
18,89,нет
11,91,спорт
16,30,нет
11,53,нет
13,99,спорт
15,74,спорт
16,21,нет
17,59,спорт
10,62,музыка
11,65,нет
12,2,музыка
12,30,информатика
18,86,информатика
16,24,спорт
12,30,нет
18,32,информатика
14,17,спорт
14,15,информатика
13,35,нет
11,88,спорт
18,0,нет
10,28,нет
11,6,нет
12,56,нет
12,25,нет
11,79,нет
10,59,спорт
16,79,нет
18,64,музыка
11,44,музыка
12,86,нет
14,48,нет
18,95,нет
16,100,информатика
16,59,информатика
15,68,информатика
13,25,информатика
11,82,информатика
17,67,спорт
17,91,спорт
10,26,нет
16,79,информатика
10,47,нет
16,18,музыка
17,17,спорт
11,56,спорт
13,32,спорт
11,10,нет
15,43,спорт
18,65,музыка
10,32,нет
13,96,нет
18,78,спорт
12,51,спорт
11,94,спорт
14,43,спорт
14,14,спорт
15,3,музыка
12,94,нет
18,96,музыка
14,74,музыка
12,10,спорт
18,29,нет
18,4,музыка
14,5,нет
10,24,нет
15,57,информатика
14,6,спорт
11,99,спорт
15,45,информатика
17,26,нет
10,52,информатика
16,79,нет
11,31,музыка
16,4,спорт
13,5,информатика
10,86,музыка
18,11,музыка
11,64,информатика
15,38,спорт
11,78,нет
18,6,спорт
16,90,нет
17,70,спорт
13,45,спорт
14,20,информатика
15,98,музыка
17,30,музыка
17,49,информатика
10,39,нет
15,23,информатика
10,42,информатика
12,15,информатика
17,0,спорт
12,29,музыка
17,11,спорт
14,41,музыка
12,87,спорт
13,16,нет
14,0,информатика
16,11,нет
15,51,информатика
18,27,спорт
17,49,нет
16,2,музыка
15,33,нет
12,41,информатика
13,43,музыка
11,55,нет
13,78,музыка
18,47,информатика
13,84,музыка
11,53,музыка
15,26,нет
18,23,информатика
17,32,информатика
12,60,нет
14,24,музыка
14,92,нет
12,48,информатика
12,87,спорт
12,69,нет
18,33,спорт
16,23,спорт
17,75,музыка
17,33,нет
18,24,нет
10,93,спорт
17,48,спорт
10,4,нет
14,49,спорт
15,46,спорт
13,87,информатика
11,71,музыка
11,19,нет
17,15,нет
12,60,нет
12,4,спорт
18,32,информатика
11,13,информатика
18,2,спорт
18,92,спорт
15,9,информатика
11,0,спорт
11,94,музыка
12,19,нет
15,82,спорт
11,3,информатика
14,15,нет
11,11,нет
14,71,нет
10,62,информатика
16,48,нет
10,24,спорт
11,8,информатика
11,57,спорт
17,23,информатика
10,59,информатика
13,69,спорт
15,85,нет
14,49,информатика
16,0,спорт
17,28,спорт
13,86,информатика
17,53,информатика
12,62,информатика
18,46,спорт
14,16,нет
16,90,нет
17,78,информатика
17,100,музыка
17,86,нет
14,29,нет
10,25,музыка
14,25,нет
11,92,нет
18,56,нет
12,45,информатика
12,97,спорт
12,60,спорт
15,91,информатика
15,99,информатика
18,8,информатика
13,36,музыка
12,74,музыка
10,82,нет
10,14,спорт
13,32,спорт
18,55,нет
14,80,нет
18,11,нет
10,60,нет
10,29,нет
17,21,информатика
10,52,информатика
10,41,спорт
13,64,музыка
18,32,нет
16,83,информатика
10,7,музыка
17,87,информатика
17,3,спорт
17,74,спорт
18,34,спорт
12,38,нет
18,1,информатика
12,70,нет
17,16,нет
15,66,спорт
17,73,спорт
15,85,нет
15,71,спорт
15,30,нет
17,74,спорт
16,83,музыка
11,32,нет
17,12,спорт
14,89,спорт
12,14,нет
14,59,спорт
18,23,информатика
17,12,информатика
17,78,спорт
14,14,нет
17,67,нет
13,70,информатика
16,6,нет
15,17,спорт
12,80,спорт
12,51,музыка
10,12,нет
11,100,спорт
13,26,спорт
14,0,музыка
11,93,нет
13,1,спорт
15,55,информатика
12,100,нет
13,58,информатика
13,59,спорт
14,39,спорт
13,12,информатика
16,57,информатика
12,90,нет
13,9,музыка
13,88,нет
11,41,нет
16,54,информатика
12,16,информатика
12,62,нет
17,18,спорт
18,27,нет
16,72,нет
18,5,спорт
17,45,информатика
14,60,спорт
16,13,спорт
12,29,информатика
14,34,информатика
14,67,нет
18,98,нет
17,84,нет
14,19,спорт
15,1,спорт
11,5,спорт
17,60,спорт
14,15,нет
14,23,информатика
16,85,спорт
15,88,нет
10,84,информатика
12,25,спорт
11,62,спорт
16,61,музыка
10,18,нет
11,55,спорт
15,53,нет
16,40,нет
14,75,нет
17,68,спорт
18,53,спорт
11,73,нет
18,77,информатика
15,57,музыка
15,27,нет
10,76,спорт
15,72,нет
16,99,нет
15,15,нет
10,42,информатика
14,93,нет
18,51,музыка
16,95,нет
11,1,нет
18,3,нет
18,80,информатика
11,36,спорт
17,52,спорт
13,43,музыка
15,41,музыка
14,94,музыка
17,9,информатика
18,77,нет
17,89,нет
18,66,спорт
18,39,нет
10,16,музыка
12,68,музыка
16,47,спорт
15,15,нет
10,36,нет
10,97,нет
14,26,нет
15,18,нет
11,68,информатика
11,20,музыка
11,92,информатика
15,86,нет
10,99,спорт
15,92,информатика
14,24,нет
14,21,информатика
16,34,нет
14,47,информатика
16,88,нет
16,74,нет
18,65,информатика
17,88,нет
14,65,информатика
14,38,музыка
12,41,музыка
15,52,нет
11,8,спорт
18,74,спорт
17,65,нет
11,73,музыка
17,53,информатика
11,79,спорт
16,95,информатика
10,57,нет
14,44,спорт
15,10,информатика
16,78,нет
13,91,спорт
18,70,нет
16,87,спорт
11,86,нет
16,80,нет
16,50,нет
13,10,спорт
16,0,музыка
18,20,нет
17,43,спорт
16,75,спорт
15,46,спорт
12,2,нет
17,21,нет
13,98,музыка
14,99,нет
12,38,музыка
12,81,информатика
11,72,информатика
18,94,музыка
11,89,спорт
10,63,нет
18,39,нет
14,63,информатика
13,32,музыка
16,35,спорт
13,61,нет
11,57,нет
16,58,нет
11,38,информатика
14,41,спорт
18,1,спорт
18,60,спорт
13,58,спорт
17,94,спорт
15,50,нет
14,47,спорт
11,6,спорт
13,19,нет
15,34,музыка
18,38,нет
10,36,музыка
16,39,нет
17,77,музыка
18,13,музыка
13,33,нет
11,16,информатика
12,31,информатика
17,69,информатика
17,4,спорт
15,34,нет
11,2,спорт
11,96,спорт
14,73,спорт
15,24,нет
10,20,информатика
16,9,нет
14,47,нет
10,76,спорт
10,59,нет
14,88,информатика
16,34,спорт
17,28,нет
13,48,нет
12,20,информатика
18,98,музыка
14,18,информатика
12,48,музыка
13,52,музыка
10,5,музыка
12,47,музыка
14,45,спорт
18,26,нет
16,12,музыка
17,4,нет
14,0,спорт
10,48,информатика
13,9,информатика
18,96,спорт
10,24,спорт
17,65,информатика
16,68,нет
12,50,спорт
17,89,нет
17,11,музыка
10,23,нет
10,25,информатика
15,13,информатика
18,29,музыка
10,31,нет
15,77,информатика
11,30,музыка
15,88,музыка
15,78,нет
10,91,спорт
16,10,музыка
18,99,информатика
17,62,нет
10,99,информатика
12,35,информатика
12,96,нет
14,59,информатика
11,7,спорт
17,41,спорт
16,13,спорт
17,95,спорт
11,30,информатика
10,22,нет
18,55,нет
12,42,спорт
15,9,музыка
18,82,спорт
10,85,нет
10,75,спорт
10,62,музыка
11,40,информатика
10,54,музыка
17,52,информатика
15,16,нет
18,8,спорт
17,25,нет
18,45,музыка
12,16,нет
12,10,нет
17,86,нет
12,37,спорт
10,59,информатика
16,52,спорт
17,74,спорт
18,74,музыка
18,29,нет
11,85,нет
16,37,музыка
17,84,музыка
16,40,нет
17,11,нет
17,76,спорт
14,3,музыка
10,78,нет
14,4,информатика
11,20,информатика
11,60,нет
11,95,нет
16,41,нет
14,12,нет
14,23,спорт
16,90,информатика
14,73,музыка
15,10,музыка
10,38,музыка
17,26,музыка
14,17,информатика
11,85,нет
17,62,информатика
16,18,информатика
10,65,спорт
11,41,спорт
10,6,нет
12,45,информатика
10,18,спорт
16,24,нет
14,88,музыка
18,71,спорт
16,13,информатика
15,85,спорт
14,58,музыка
10,88,спорт
10,75,спорт
15,34,спорт
10,54,музыка
10,53,спорт
11,72,нет
17,25,спорт
14,33,музыка
16,24,информатика
13,29,информатика
11,16,спорт
13,3,нет
10,94,нет
16,7,спорт
11,89,спорт
13,0,нет
18,78,музыка
15,33,спорт
14,52,спорт
14,28,музыка
17,49,нет
12,45,музыка
15,53,нет
17,39,информатика
15,54,информатика
14,83,информатика
11,43,информатика
12,36,спорт
18,13,спорт
14,36,информатика
12,12,нет
13,18,спорт
15,96,информатика
14,9,музыка
16,48,музыка
12,84,нет
15,96,нет
13,14,нет
18,16,спорт
11,37,информатика
11,55,музыка
14,96,спорт
14,20,спорт
16,16,спорт
13,25,информатика
18,88,информатика
14,3,спорт
11,38,нет
11,12,нет
18,15,спорт
11,92,нет
18,0,спорт
12,32,нет
10,92,нет
12,61,спорт
15,7,нет
13,46,нет
17,98,нет
15,40,нет
13,53,музыка
15,53,спорт
18,66,нет
13,18,музыка
11,84,музыка
13,99,информатика
17,14,музыка
11,82,спорт
18,82,нет
15,74,спорт
15,37,нет
12,47,нет
18,84,информатика
10,15,музыка
12,83,информатика
13,92,нет
14,68,нет
14,34,информатика
11,56,спорт
12,5,спорт
10,94,информатика
15,34,нет
13,5,нет
15,80,спорт
15,66,нет
16,62,информатика
14,5,нет
15,75,спорт
15,64,музыка
15,80,нет
15,83,спорт
12,21,нет
12,21,нет
17,93,спорт
13,53,спорт
14,44,музыка
11,29,информатика
13,64,спорт
14,76,информатика
15,0,нет
14,55,информатика
13,100,информатика
18,28,нет
14,28,музыка
